,PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError,EndError_cleaned,PathOffset_cleaned,PathOffsetNoLag_cleaned
191,Poppy,47,low,80,row_C3,center,close,0.5378899532462771,0.7220925275847934,0.0,1.58,1.58,1.39,0.9103778170423982,0.9941579128916178,1.3809396008789208
192,Poppy,48,low,80,row_A1,left,far,0.8651410497761614,1.1094654631264722,20.8,3.47,5.51,4.38,1.8325467102247828,1.615308587170674,4.100727275737622
193,Poppy,49,low,80,row_A5,right,far,0.7103624490099899,0.907328484957146,18.6,1.6,3.32,1.17,0.8055275107120075,1.0026509310601806,2.6619864589429714
194,Poppy,50,low,80,row_A4,center,far,0.3890037476309569,0.4447495519164742,16.4,1.49,3.43,1.35,0.891978771492421,0.9551905199989719,2.7380456576607366
195,Poppy,51,low,80,row_B3,center,middle,0.6303168694829877,0.9364936434844254,16.2,1.1,3.18,0.64,0.5071367544439487,0.7701544030436325,2.564479201810858
196,Poppy,52,low,80,row_C1,left,close,0.7438614886126492,1.5032411694266676,0.0,3.21,3.21,1.7,1.0442537523679474,1.5459111091283462,2.585441483496964
197,Poppy,53,low,80,row_A2,left,far,0.4568824933322356,1.1259688545326467,21.6,3.15,4.95,3.01,1.4898520702497642,1.5293496356865188,3.746230951043657
198,Poppy,54,low,80,row_A3,center,far,0.510024890937645,0.5216460395729273,59.6,1.06,9.56,0.54,0.4412398463969702,0.7494618330019409,6.477307638649246
199,Poppy,55,low,80,row_C6,right,close,1.5462622665740873,1.6593751068921148,20.0,2.03,3.3,0.92,0.6740718756091502,1.1723430623433106,2.6481057771014114
200,Poppy,56,low,80,row_C5,right,close,0.8291158919773423,0.9811571182053632,18.9,1.75,3.63,1.3,0.8685794289921267,1.0645376106020565,2.8751390331399205
201,Poppy,57,low,80,row_B6,right,middle,1.6822605320044517,1.802852742752732,18.8,4.47,5.57,5.0,1.9623119885131546,1.8521934846036325,4.138246797085358
202,Poppy,58,low,80,row_A6,right,far,0.7997619077101001,0.9780049080111352,22.2,3.27,4.4,2.8,1.4282138804355626,1.5622615013796382,3.3898418777037
204,Poppy,60,low,80,row_B4,center,middle,1.4747340369680764,1.720506095211917,36.6,2.21,5.94,1.05,0.7442322135284019,1.2370031663900938,4.36776247443781
205,Poppy,61,low,80,row_C2,left,close,0.7555540431903219,1.0180272568936366,0.0,6.94,6.94,5.12,1.9860239793411472,2.302179238170605,4.973394848484393
206,Poppy,62,low,80,row_C4,center,close,1.0955335496897525,1.1789235511286595,32.4,2.27,6.2,1.19,0.8154454570893899,1.2578323070696662,4.5272130690421974
207,Poppy,63,low,80,row_B2,left,middle,0.7739400724546047,1.1090900401450554,18.0,3.22,5.39,3.66,1.6637604535438877,1.5486506788213772,4.0254275707362845
