PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError
Pete,38,mid,160,row_B2,left,middle,1.5229108293815254,1.948614831353053,62.4,1.59,8.69,0.69
Pete,39,mid,160,row_A2,left,far,1.277867190540813,1.60963745527472,51.6,2.5,9.35,1.41
Pete,40,mid,160,row_C3,center,close,1.3776279930033544,1.788371386265543,39.2,1.3,5.97,0.17
Pete,41,mid,160,row_A1,left,far,2.443598443554656,3.09544135248745,40.6,3.8,8.41,2.11
Pete,42,mid,160,row_B3,center,middle,1.099736289187402,1.4102478179516609,50.7,1.34,7.9,0.56
Pete,43,mid,160,row_B5,right,middle,2.615482461600743,3.035387598878818,45.8,2.38,5.62,2.03
Pete,44,mid,160,row_B4,center,middle,1.7909653690070844,1.7004861774856492,43.2,2.38,6.19,1.18
Pete,45,mid,160,row_C2,left,close,44.215250171193986,43.94238901900307,0.0,1.87,1.87,1.14
Pete,46,mid,160,row_A6,right,far,2.6705867423342013,3.203128620686825,28.9,5.48,6.64,8.99
Pete,47,mid,160,row_A4,center,far,0.8930668074399757,1.0887444289170072,47.6,1.36,5.14,0.84
Pete,48,mid,160,row_C6,right,close,2.9619090475318246,3.3109466540998493,29.3,2.69,3.97,1.5
Pete,49,mid,160,row_C1,left,close,2.1817310063386435,2.7245976330785537,50.0,2.91,8.41,3.39
Pete,50,mid,160,row_A5,right,far,1.5627785596578596,1.694851795091024,68.8,1.4,4.88,1.56
Pete,51,mid,160,row_B1,left,middle,1.0494409255993902,1.2156172121786808,222.2,15.28,21.21,50.81
Pete,52,mid,160,row_C4,center,close,1.310654496123953,1.4449326935055504,52.2,1.21,5.47,0.45
Pete,53,mid,160,row_B6,right,middle,3.9303168544822933,4.525255481145709,30.2,4.28,5.54,4.74
Pete,54,mid,160,row_A3,center,far,1.0000738494871222,1.0783127576202531,60.0,1.24,7.85,0.14
Pete,55,mid,160,row_C5,right,close,2.8380558956550788,3.183054834236724,26.8,2.67,4.5,1.29
Pete,56,mid,160,row_B2,left,middle,1.1346195751415695,1.3125100690760538,46.8,1.44,6.03,0.82
Pete,57,mid,160,row_A2,left,far,1.394497507541116,1.7553299497776849,42.4,2.55,6.93,1.32
Pete,58,mid,160,row_C3,center,close,1.4730222286075345,1.7323599157683918,42.4,1.54,6.18,0.33
Pete,59,mid,160,row_A1,left,far,1.6994197523172658,2.1106895985158602,44.4,2.89,7.88,2.31
Pete,60,mid,160,row_B3,center,middle,1.1815168684654118,1.4965818735678198,41.6,1.36,5.61,0.71
Pete,61,mid,160,row_B5,right,middle,2.5048550417106528,2.9168080095969886,47.8,2.53,5.66,2.03
Pete,62,mid,160,row_B4,center,middle,1.531713717912237,1.8857765765909615,57.9,1.9,7.66,0.99
Pete,63,mid,160,row_C2,left,close,1.669593905226759,1.8522634478178233,22.2,2.24,4.62,2.45
Pete,64,mid,160,row_A6,right,far,2.798560720919364,2.776429269278524,39.3,3.69,4.73,6.94
Pete,65,mid,160,row_A4,center,far,0.9616420013267398,1.0133356812565044,51.2,1.01,4.83,0.4
Pete,66,mid,160,row_C6,right,close,2.6123114627329604,3.2014799972313805,30.0,3.7,5.07,3.87
Pete,67,mid,160,row_C1,left,close,0.017569588754265838,1.402457041549122,651.6,65.35,78.79,48.62
Pete,68,mid,160,row_A5,right,far,1.6599323709380336,1.7701405370546235,40.7,1.77,3.43,1.44
Pete,69,mid,160,row_B1,left,middle,42.53643100831769,42.25899834803626,0.0,2.0,2.0,1.38
Pete,70,mid,160,row_C4,center,close,34.713809898986014,34.58090551733535,0.0,1.45,1.45,0.43
Pete,71,mid,160,row_B6,right,middle,1.5941406045200934,1.5174187441647389,0.0,3.01,3.01,4.71
Susan,0,high,80,row_A6,right,far,1.9085867683064488,2.7094014347513014,35.8,5.33,6.96,5.74
Susan,1,high,80,row_C6,right,close,2.11954426315336,2.458481647563389,40.0,3.66,8.01,0.81
Susan,2,high,80,row_B3,center,middle,0.6408647717939092,0.9106144733867243,52.4,1.81,6.22,1.59
Susan,3,high,80,row_B2,left,middle,0.6960484642435106,0.6934036569129532,66.6,2.53,7.38,2.93
Susan,4,high,80,row_A5,right,far,1.1442657888978685,1.3200501662047786,61.2,3.92,7.85,7.02
Susan,5,high,80,row_C4,center,close,1.0901212767153456,1.422479937116276,52.2,2.74,7.11,2.16
Susan,6,high,80,row_A3,center,far,0.5652956931247521,1.019820977233639,66.6,3.06,9.62,2.84
Susan,7,high,80,row_C1,left,close,1.0603865283765959,1.0486531928186114,0.0,3.37,3.37,3.04
Susan,8,high,80,row_A1,left,far,1.0164040573250075,1.4787239716362603,29.5,2.06,4.75,1.88
Susan,9,high,80,row_C2,left,close,1.0362353716476882,1.2452857814344769,36.6,2.91,5.66,2.24
Susan,10,high,80,row_A2,left,far,0.8454439453785386,1.3108801768288043,29.7,2.45,4.83,1.92
Susan,11,high,80,row_C3,center,close,0.9097506572248014,1.4399808645435193,53.4,2.16,7.16,0.98
Susan,12,high,80,row_B6,right,middle,1.6277456565007027,2.4096969613352033,54.2,3.25,6.9,2.17
Susan,13,high,80,row_B5,right,middle,1.2009427081160355,2.1330946548803285,53.6,7.09,10.78,11.13
Susan,14,high,80,row_B4,center,middle,1.1298784656777712,11.612139215600868,212.0,18.66,40.5,7.16
Susan,15,high,80,row_A4,center,far,0.5735119101882266,0.963430860471663,56.7,2.69,8.25,2.65
Susan,16,high,80,row_B1,left,middle,0.8242551744644603,1.1240171031510258,103.6,2.69,14.18,1.12
Susan,17,high,80,row_C5,right,close,1.1162616644887855,2.0459060977217836,47.4,4.43,8.5,4.28
Susan,18,high,80,row_A6,right,far,1.2325968668687663,1.7899237291464978,32.5,3.74,4.99,7.14
Susan,19,high,80,row_C6,right,close,1.0585166441804112,1.316136856221038,32.0,2.02,3.93,3.0
Susan,20,high,80,row_B3,center,middle,0.6128281824466008,0.7465895221628026,31.7,2.15,4.42,3.59
Susan,21,high,80,row_B2,left,middle,0.9308531493816447,1.1780922030840253,43.6,1.83,6.92,1.47
Susan,22,high,80,row_A5,right,far,0.8806054933032229,1.0479190566137784,28.4,2.49,4.07,1.3
Susan,23,high,80,row_C4,center,close,1.0017692340192412,1.23184509634805,52.2,1.22,5.68,0.36
Susan,24,high,80,row_A3,center,far,0.7227186114567777,1.0612334951913749,57.6,1.41,8.23,0.92
Susan,25,high,80,row_C1,left,close,1.1143293687493703,8.077207081748705,273.0,28.76,62.11,62.17
Susan,26,high,80,row_A1,left,far,1.1496228036039564,1.5314173515458644,49.0,1.87,7.29,1.68
Susan,27,high,80,row_C2,left,close,1.2260976831889516,1.6729657463441672,45.2,1.49,7.1,0.39
Susan,28,high,80,row_A2,left,far,0.974461845414882,1.2423062081585519,19.0,1.37,3.71,0.78
Susan,29,high,80,row_C3,center,close,0.9989738725682561,2.0444313452578493,44.4,2.49,7.57,1.98
Susan,30,high,80,row_B6,right,middle,1.864097216038244,2.6138582775891894,71.7,9.51,13.8,3.07
Susan,31,high,80,row_B5,right,middle,1.434698984380703,2.2190374658422023,82.4,6.08,14.14,8.12
Susan,32,high,80,row_B4,center,middle,1.182979678856693,1.551409880410687,38.0,2.82,6.66,2.83
Susan,33,high,80,row_A4,center,far,0.7355947843122146,0.961362995722018,57.6,1.82,7.62,1.45
Susan,34,high,80,row_B1,left,middle,1.151696505153435,1.6430142079215584,47.4,1.84,7.09,0.54
Susan,35,high,80,row_C5,right,close,1.6205659666658694,2.005379680818991,40.6,5.07,9.17,6.43
Susan,36,high,80,row_A6,right,far,1.2532263379418467,1.5861352351735396,23.6,2.85,4.24,3.33
Susan,37,high,80,row_C6,right,close,2.1971520856569815,2.6039357050485763,48.2,2.33,6.06,1.76
Susan,38,high,80,row_B3,center,middle,0.7805032774945005,0.986653627324625,58.8,1.66,8.43,1.49
Susan,39,high,80,row_B2,left,middle,0.95649225299199,1.5833234265046898,37.6,1.14,6.23,0.15
Susan,40,high,80,row_A5,right,far,0.8612127912563755,1.1719810756685487,40.6,2.49,6.12,2.29
Susan,41,high,80,row_C4,center,close,1.1148064965425604,1.412519279623406,40.0,1.75,6.09,0.54
